ID,commune,sol_simple,pluie,taux_moyen,taux_med,pente_moy,tri_moy,tpi_moy,rug_moy,omb_moy,expo_moy,X,Y,nb_mesures,histo_banane,longitude,latitude,niveau_risque,nb_parcelles,taux_moy_commune,taux_med_commune,part_risque_eleve,risque_95
63331,SAINT-JOSEPH,Nitisol,2000-3000,0.0033999999999999994,0.0034,18.751455323585994,4.735484198659803,-0.5296493484429984,13.795395316699572,161.81803861013614,170.91226534325708,709740.6317074923,1621043.5826141501,19,,-61.052479233115385,14.654760112516431,modéré,226.0,0.16382234513274338,0.00165,0.0,False
63332,SAINT-JOSEPH,No data,2000-3000,0.0005,0.0005,28.288532191935527,5.779382887179518,-0.24240586661664063,16.469281172602933,138.61909569030695,91.30655058560606,710377.4496253475,1623229.0481402634,15,1,-61.046393422927366,14.674458849715059,modéré,226.0,0.16382234513274338,0.00165,0.0,False
63333,SAINT-JOSEPH,Nitisol,2000-3000,0.0005,0.0005,20.55543913265903,4.213306389702746,1.095084592930331,13.968680566145244,190.40324484923852,40.70900742352515,714359.768519704,1622505.577403727,13,1,-61.00948770691073,14.667607683012678,modéré,226.0,0.16382234513274338,0.00165,0.0,False
63334,ROBERT(LE),Vertisol,1500-2000,0.0005,0.0005,39.219099402427645,8.03125,-0.3125,27.625,178.25,235.5764064788815,722257.4053874415,1619292.2449359,2,2,-60.93645661308252,14.6379337186864,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63335,ROBERT(LE),Vertisol,1500-2000,0.0798,0.0798,20.364460484145596,5.002787708212733,1.8408118741508002,16.21499002478525,196.38806895950526,235.80513591391963,722185.7680457364,1619482.880300435,8,2,-60.93710531599249,14.639662119871987,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63336,ROBERT(LE),Ferralsol,2000-3000,0.0005,0.0005,21.38929907367759,4.835594862637019,1.1507318060933378,16.0306064694706,167.80266003777234,216.22535595339767,719815.5917983805,1621399.4254375615,12,2,-60.958941022937815,14.657173440192059,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63337,ROBERT(LE),Ferralsol,1500-2000,0.0005,0.0005,28.787043480960882,6.217535211884629,-1.5104989190097473,18.78083846578583,164.9904019355288,54.55063343239251,721302.1800777917,1626717.549580033,10,,-60.94469495823488,14.705104499111908,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63338,ROBERT(LE),Ferralsol,1500-2000,0.0335,0.0335,38.55362672200932,7.854251715456308,-0.6226523872111283,25.063415028027425,210.7646464077098,211.39675409243682,721350.3716398487,1626669.431526242,14,,-60.9442516631576,14.70466575607019,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63339,ROBERT(LE),Ferralsol,2000-3000,0.0011,0.0011,26.784533714140363,6.348878448729274,0.29633353596276807,19.091534092412513,156.48582004756207,194.2504755837916,719772.5055871683,1621402.73333897,15,2,-60.95934063454953,14.657206839916523,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63340,SAINT-ESPRIT,Vertisol,1500-2000,0.0005,0.0005,41.689154925994394,8.286639947939568,2.563125933510057,25.218881858273505,109.44377953809274,102.326368518213,724989.8889889731,1608167.246939121,38,1,-60.91204686506543,14.537187492487746,modéré,142.0,0.3276390845070422,0.005050000000000001,0.0,False
63341,SAINT-ESPRIT,Ferralsol,1500-2000,0.0024,0.0024,21.802916543035426,4.178468619949243,0.8146564233771938,14.951264955579463,179.0027985731065,227.05338867709202,721369.4019552921,1610402.05871236,8,,-60.945443422384756,14.55767762495647,modéré,142.0,0.3276390845070422,0.005050000000000001,0.0,False
63342,DUCOS,Vertisol,1500-2000,0.0712,0.0712,10.501660162712868,2.070602938443455,-0.14822523968343437,6.608676997477176,171.93812346118673,71.41021697744493,721056.5793243423,1614098.6881000712,8,,-60.94803625475078,14.591104841495353,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63343,DUCOS,Vertisol,1500-2000,0.0283,0.0283,13.038624436112284,3.048344909212955,2.583848891885581,8.286473217082147,167.98960325778987,186.34676589010311,721508.9878510941,1614041.2568514447,15,1,-60.943843505514415,14.590548975722868,modéré,195.0,0.08190133333333334,0.00165,0.0,False
63344,ROBERT(LE),Ferralsol,1500-2000,0.0005,0.0005,26.626708902862532,5.20317691077499,0.08158870316357807,15.826998625938332,146.86621534337402,187.7218302345707,720782.8633456329,1625167.7473442534,3,1,-60.94964650067728,14.69114373648184,modéré,227.0,0.14452224669603525,0.00165,0.0,False
63345,TRINITE(LA),Nitisol,2000-3000,0.3451,0.3451,30.430190805459176,6.075262095242953,0.27578028706680047,20.8037471081109,122.864834648263,120.56619195005524,718402.0933154223,1630524.7475849777,4,1,-60.97129871295688,14.739742531328739,modéré,153.0,0.3651392156862745,0.0048,0.0,False
63346,TRINITE(LA),Nitisol,2000-3000,0.0022,0.0022,14.07952807951512,3.002179211502062,-1.4055985997741463,8.841824849408704,155.099344959333,119.8720370741436,718533.6388917492,1630396.8975305338,5,,-60.9700880590886,14.738576597598142,modéré,153.0,0.3651392156862745,0.0048,0.0,False
